n_periods_jul,total_return_pct_jul,cagr_pct_jul,sharpe_jul,max_drawdown_pct_jul,win_rate_pct_jul,avg_period_ret_bps_jul,signal,n,direction,side,n_periods_aug,total_return_pct_aug,cagr_pct_aug,sharpe_aug,max_drawdown_pct_aug,win_rate_pct_aug,avg_period_ret_bps_aug,combo_sharpe
206,72.80969761803433,76828.9059720715,5.0686223368005,-22.04088922260643,54.85436893203883,31.371986074738945,chg_30m,10,reversion,short_only,195,100.65297954746248,566562.2182012614,7.66511243304384,-23.339441383595137,59.48717948717949,38.848257686223455,5.0686223368005
206,32.77985165765844,3032.332386942139,4.155941492779572,-17.863071134457233,53.398058252427184,15.502309025298619,chg_30m,20,reversion,short_only,195,30.784302731485447,2695.4087318635948,4.119337420585345,-12.564551307495664,53.84615384615385,15.464473722353251,4.119337420585345
206,34.44571526954554,3544.5946064288714,3.7201290669641627,-15.582054393154387,54.85436893203883,16.973734785948746,chg_30m,15,reversion,short_only,195,50.4589736019712,15812.683388500958,5.225421570181055,-15.510553521929271,54.871794871794876,23.3889251487356,3.7201290669641627
206,55.78962207707831,21729.75601308084,4.33109939182912,-24.265866884345165,52.42718446601942,26.179901202756668,chg_15m,10,reversion,short_only,195,28.360051521022612,2116.1828764632273,3.3293992789298192,-31.079370631877524,49.743589743589745,15.350811991318642,3.3293992789298192
206,31.984420507758472,2811.831846482254,3.405540012404048,-25.366151555622107,54.36893203883495,16.60160067511888,chg_24h,20,reversion,short_only,195,23.47238836241834,1268.9072178398621,3.0187576930069677,-30.194327152275825,52.307692307692314,13.092179919356115,3.0187576930069677
206,31.32690272264904,2640.4169327018667,2.9994550592327007,-34.48096560060191,51.45631067961165,18.282686669898613,chg_24h,15,reversion,short_only,195,39.53088860894978,6142.331481828941,3.8246713012638525,-36.133467085489116,54.871794871794876,20.626854852905236,2.9994550592327007
206,30.731996383349358,2493.3562595828707,4.697105887847505,-10.133696782567858,54.85436893203883,14.146795590199025,chg_30m,30,reversion,short_only,195,16.83744181478424,589.7430671689514,2.9902588474549407,-13.398226581638994,49.743589743589745,9.091739538314263,2.9902588474549407
206,19.682654586264015,787.0743414336271,2.777687940370674,-11.920667330863377,51.45631067961165,10.52166395913518,chg_15m,20,reversion,short_only,195,17.944519296370665,675.3806255147152,3.0565794249653546,-15.849829339282607,51.7948717948718,9.666973968756048,2.777687940370674
206,20.91384609113558,904.5182166403476,2.5820241533527124,-15.762320601796631,53.883495145631066,11.89458162759112,chg_15m,15,reversion,short_only,195,31.253381908527288,2822.410762916805,4.118235645910181,-24.124553826119932,52.307692307692314,15.693068162819705,2.5820241533527124
206,12.219373955594314,305.73995389477,2.1306110366485944,-19.477298666977262,54.36893203883495,6.974489831519508,chg_open_1d,30,reversion,short_only,195,21.02743085196974,968.0241288405424,3.4412690873186795,-22.16465277392644,52.820512820512825,11.021629097473031,2.1306110366485944
206,11.864805208715934,290.43727224520194,1.7903997673498164,-27.01023229788072,53.883495145631066,8.252433531800037,chg_open_1d,20,reversion,short_only,195,29.88084787194303,2464.9871384860176,3.721037417187483,-23.74635667726913,52.307692307692314,15.508183221741941,1.7903997673498164
206,23.867382954810125,1246.7440272707224,2.726187706367628,-20.936405434751947,51.94174757281553,13.430771148957906,chg_5m,10,reversion,short_only,195,10.796150418270578,256.9006767532815,1.7316775691110664,-28.8107221415715,50.256410256410255,7.533846797422653,1.7316775691110664
