symbol,alert_time,exit_time,exit_reason,net_ret_pct
CAPUSDT.P,2026-07-01 22:39:00,2026-07-04 08:30:00,SL,-20.05
SKHYUSDT.P,2026-07-13 16:09:00,2026-07-16 14:46:00,TIME,8.807030636292218
SNXXUSDT.P,2026-07-17 10:28:00,2026-07-20 06:45:00,TIME,-4.360344827586199
ZHIPUUSDT.P,2026-07-22 09:04:00,2026-07-25 06:27:00,TIME,5.7046794105934
GRAMUSDT.P,2026-07-22 17:55:00,2026-07-25 16:24:00,TIME,-2.574916943521582
MUUUSDT.P,2026-07-23 06:37:00,2026-07-25 21:06:00,TIME,-11.555922165820649
SOXSUSDT.P,2026-07-24 14:48:00,2026-07-27 11:46:00,TIME,3.859287257019445
GRVTUSDT.P,2026-08-06 17:14:00,2026-08-09 15:22:00,TIME,-0.5391684136967168
DOSUSDT.P,2026-08-20 10:06:00,2026-08-23 09:45:00,TIME,-6.7575664621676905
UNITREEUSDT.P,2026-08-20 14:46:00,2026-08-23 13:42:00,TIME,-5.5828268069355085
NIULAIUSDT.P,2026-09-02 10:22:00,2026-09-05 06:50:00,TIME,-2.209624413145533
MARSCOINUSDT.P,2026-09-03 06:24:00,2026-09-03 15:11:00,TP,29.95
